problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,4,7,100,[2.22044605e-16 2.22044605e-16 2.07705845e-01 1.23884798e-01],0.8157550869144107,0.8109332274953498,,,122,117,49600,48000
DTLZ2,4,1,100,[2.09563101e-17 0.00000000e+00 0.00000000e+00 1.00533384e+00],0.009967280493428458,0.00376799161376452,,,42,121,29176,48000
DTLZ2,4,2,100,[3.49668462e-34 0.00000000e+00 5.58408166e-01 8.37612249e-01],0.03143145630674433,0.018293701302614082,,,95,120,29184,48000
DTLZ2,4,3,100,[3.49668462e-34 1.00148417e+00 0.00000000e+00 0.00000000e+00],0.00800751666292368,0.007027510320022626,,,72,120,37736,48000
DTLZ2,4,4,100,[0.30658324 0.91974973 0.30658324 0.        ],0.062175005241704974,0.058843009144788926,,,103,121,37136,48000
DTLZ2,4,5,100,[2.22044605e-16 2.22044605e-16 5.46369256e-01 8.23887498e-01],0.3305506866098386,0.01785935993788189,,,1,119,2080,48000
DTLZ2,4,6,100,[2.22044605e-16 2.22044605e-16 5.47271571e-01 8.24688108e-01],0.16967664718054798,0.016417272219741083,,,8,109,2016,48000
DTLZ2,4,7,100,[2.22044605e-16 2.22044605e-16 5.49265172e-01 8.26641249e-01],0.030503784194922497,0.017927217789645268,,,94,113,32504,48000
DTLZ3,4,1,100,[8.52449496e-48 8.21010506e+00 0.00000000e+00 2.05252627e+00],0.08780297211867945,0.07159857138882136,,,0,117,41688,48000
DTLZ3,4,2,100,[1.19106016e-48 0.00000000e+00 2.86736647e+00 1.91157765e+00],0.0430116266252129,0.035344961978362385,,,0,121,18088,48000
DTLZ3,4,3,100,[1.19106016e-48 1.01253584e+00 2.02507168e+00 2.02507168e+00],0.03663964991460343,0.051669535496683544,,,4,120,45616,48000
DTLZ3,4,4,100,[1.19106016e-48 3.06465257e-01 3.06465257e-01 9.19395770e-01],0.06621249700773393,0.05600513180533325,,,91,121,41536,48000
DTLZ3,4,5,100,[2.22044605e-16 2.97173976e-01 6.35072888e-01 6.35072888e-01],0.023182621163277198,0.0220854851553483,,,123,119,43960,48000
DTLZ3,4,6,100,[2.22044605e-16 3.18626057e-01 6.53651908e-01 6.53651908e-01],0.023426507089655,0.035803482725656345,,,123,115,49600,48000
DTLZ3,4,7,100,[2.22044605e-16 3.17498147e-01 6.52090366e-01 6.52090366e-01],0.028974588104230894,0.022317194755174286,,,123,119,49600,48000
DTLZ4,4,1,100,[3.76977609e-033 1.00417986e+000 8.11742718e-292 0.00000000e+000],0.0549158864014279,0.003994908839464021,,,43,120,44264,48000
DTLZ4,4,2,100,[1.00365809 0.         0.         0.        ],0.055134074466266204,0.0039054045492151073,,,54,121,46048,48000
DTLZ4,4,3,100,[3.75080619e-33 0.00000000e+00 1.00037519e+00 0.00000000e+00],0.008215056256622433,0.003150404465956647,,,69,121,42600,48000
DTLZ4,4,4,100,[0.30175451 0.         0.90526352 0.30175451],0.06400614826670419,0.04141464037913367,,,102,121,42320,48000
DTLZ4,4,5,100,[5.94829192e-01 5.94829192e-01 2.61192804e-01 2.22044605e-16],0.02770937849719486,0.022361726210127025,,,112,121,40832,48000
DTLZ4,4,6,100,[6.42714680e-01 6.42714680e-01 3.09304810e-01 2.22044605e-16],0.031176904287951262,0.02869206183205949,,,117,118,49544,48000
DTLZ4,4,7,100,[6.42714680e-01 6.42714680e-01 3.09304810e-01 2.22044605e-16],0.030565424467079882,0.028296899324458783,,,113,119,49600,48000
DTLZ1,5,1,100,[ 0.          0.          0.          0.         20.45187934],0.5635386761816682,0.5639064713112835,,,79,114,16190,63000
DTLZ1,5,2,100,[0.         0.         0.         5.74683898 0.        ],0.5642981139946001,0.5631750264230421,,,71,127,33140,63000
DTLZ1,5,3,100,[0.         0.         0.         0.         1.56670661],0.635345504276023,0.5631525323356513,,,4,126,12650,63000
DTLZ1,5,4,100,[0.         0.         0.         0.54353682 0.        ],0.5635545131896124,0.5629190720486863,,,4,127,17620,63000
DTLZ1,5,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 3.64377404e-01]",0.8581008105784834,0.5636250706582816,,,10,126,7710,63000
DTLZ1,5,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 3.57138841e-01]",0.5740794347787597,0.5635554580970272,,,115,126,42140,63000
DTLZ1,5,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 3.20572362e-01]",0.5649712194315694,0.5635143610351496,,,124,126,64560,63000
DTLZ2,5,1,100,"[4.35725711e-17 0.00000000e+00 1.83399567e-17 4.46237126e-19
 1.01229420e+00]",0.03607485005505418,0.005484816194848276,,,96,125,49140,63000
DTLZ2,5,2,100,"[7.02985283e-34 0.00000000e+00 1.00518461e+00 0.00000000e+00
 0.00000000e+00]",0.03582642766894912,0.005399016187582549,,,99,125,52770,63000
DTLZ2,5,3,100,"[1.80779001e-34 3.04084903e-01 3.04084903e-01 0.00000000e+00
 9.12254708e-01]",0.271141274891637,0.016499565299418335,,,4,126,3620,63000
DTLZ2,5,4,100,"[1.41681736e-34 0.00000000e+00 5.56410452e-01 0.00000000e+00
 8.34615678e-01]",0.3732476414550807,0.027461975771968652,,,4,125,3000,63000
DTLZ2,5,5,100,"[2.22044605e-16 2.88457380e-01 2.88457380e-01 2.22044605e-16
 8.92750769e-01]",0.25263261573997675,0.012673329008824128,,,4,123,3000,63000
DTLZ2,5,6,100,"[2.22044605e-16 2.87515673e-01 2.87515673e-01 2.22044605e-16
 8.91359685e-01]",0.2516355814119354,0.07582773080376118,,,4,124,3000,63000
DTLZ2,5,7,100,"[2.22044605e-16 2.87819726e-01 2.87819726e-01 2.22044605e-16
 8.91309802e-01]",0.25228404323570675,0.0062451770984047065,,,4,122,3000,63000
DTLZ3,5,1,100,"[1.09073433e-63 0.00000000e+00 1.20224162e+01 0.00000000e+00
 1.80336244e+01]",0.03205172067571763,0.3293401135101639,,,0,123,53000,63000
DTLZ3,5,2,100,"[1.09073433e-63 2.74440487e+00 0.00000000e+00 0.00000000e+00
 6.86101217e-01]",0.08843961308764627,0.08372426842241286,,,1,127,51610,63000
DTLZ3,5,3,100,"[1.09073433e-63 0.00000000e+00 1.77027203e+00 0.00000000e+00
 2.65540804e+00]",0.03222065280777059,0.029065751624293285,,,0,126,49970,63000
DTLZ3,5,4,100,"[1.09073433e-63 3.38615621e-01 6.77231242e-01 0.00000000e+00
 6.77231242e-01]",0.04261037140792873,0.029989447629229515,,,102,127,58300,63000
DTLZ3,5,5,100,"[2.22044605e-16 2.22044605e-16 5.58004281e-01 2.22044605e-16
 8.39317517e-01]",0.03329722052006199,0.026841616935400044,,,103,126,58800,63000
DTLZ3,5,6,100,"[2.22044605e-16 2.22044605e-16 5.54487225e-01 2.22044605e-16
 8.33210758e-01]",0.03302574041875675,0.026741230794132962,,,125,124,66000,63000
DTLZ3,5,7,100,"[2.22044605e-16 2.22044605e-16 5.54163908e-01 2.22044605e-16
 8.32797101e-01]",0.033094164560038816,0.027118871641457997,,,123,123,66000,63000
DTLZ4,5,1,100,"[3.78313775e-033 4.45242031e-199 0.00000000e+000 1.01268525e+000
 0.00000000e+000]",0.03611367123968976,0.006572865161500955,,,52,127,57700,63000
DTLZ4,5,2,100,[0.78873833 0.39436917 0.39436917 0.         0.39436917],0.3115319463386491,0.3257441621555907,,,127,127,46240,63000
